,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,24,26,31,32,33,34,35,36,37,38,39,50,54,56,57,62,64,66,68,76,Saxon Tennis Courts,N51,N52,N57,NW10,NW12,NW13,NW14,NW15,NW16,NW17,NW20,NW21,NW22,NW30,NW35,NW61,NW86,E1,E2,E14,E15,E17E18,E19,E23,E25,E33E34,E38,E39,E51,E52,E53,E55,E62,E60,E40,E48,E70,NE18,NE25,W20,W35,W16,W11,W1,W4,W7,W51C,W51,W61,W70,W71,W84,W85,W85ABC,W92,W85FG,W85DE,W79,W64,W59,W57,W56
W11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,70,0,100,,,,,,,,,,,,,,,,,,
W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,88,,,,,,,,,,,,,,,,,
W4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0,140,,,,,,,,,,,,,,,,
W7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0,100,,,,,,,,,,,,,,,
W51C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,105,,,,,,,,,,,,,,
W51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0,118,,,,,,,,,,,,,
W61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,0,100,,,,,,,,,,,,
W70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,150,,,,,,,,,,,
W71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0,20,,,,,,,,,,
W84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,10,,,,,,,,,
